"id","addtime","cname","ename","spfenlei","keshibu","laiyuan","chandi","nengliang","danbaizhi","zhifang","baohezhifang","fanshizfs","dbbhzfs","duobbhzfs","dangc","tshhw","tang","rutang","sanshiqw","kesxssqw","bsxssqw","jinshuna","weishengshua","weishengshud","weishengshue","weishengshuk","weishengshub1","weishengshub2","weishengshub6","weishengshub12","weishengshuc","yanshuan","yeshuan","fanshuan","shenwushu","danjian","jinshulin","jinshujia","jinshumei","jinshugai","jinshutie","jinshuxin","jinshudian","jinshudxi","jinshutong","jinshufu","jinshumeng","deltae","beitae","aerfae","hulubo","zhifansz","huifen","shuifen","nengliangqk","xqurl"
"1","2025-04-14 18:07:49","结球甘蓝（绿）[圆白菜]","Cabbage(green)","蔬菜类及制品","86","食物成分表2004","中国","51","0.9","0.2",\N,\N,\N,\N,\N,"4",\N,\N,"2.3",\N,\N,"42","2",\N,\N,\N,"0.02","0.02","0.06","0","16","0.24",\N,\N,"1.2",\N,"18","46","14","28","0.2","0.12",\N,"0.3","0.01",\N,"0.09",\N,\N,\N,\N,\N,\N,\N,"12","https://www.eshian.com/sat/yyss/detail/LXMjAyNS0wNC0xNA==\
/1995"
"2","2025-04-14 18:07:54","甲鱼[鳖]","Soft-shelled turtle","药食两用食物及其它","70","食物成分表2002","中国","494","17.8","4.3",\N,\N,\N,\N,"101","2.1",\N,\N,\N,\N,\N,"97","139",\N,"1.88",\N,"0.07","0.14",\N,\N,\N,"3.3",\N,\N,\N,\N,"114","196","15","70","2.8","2.31",\N,"15.2","0.12",\N,"0.05",\N,\N,\N,\N,\N,\N,\N,"118","https://www.eshian.com/sat/yyss/detail/LXMjAyNS0wNC0xNA==\
/2243"
"3","2025-04-14 18:07:59","菊花[怀菊花]","Chrysanthemum","药食两用食物及其它","100","食物成分表2002","中国","1013","6","3.3",\N,\N,\N,\N,\N,"63",\N,\N,\N,\N,"15.9","20",\N,\N,"1.61",\N,"0.09","0.51",\N,\N,"1","9.2",\N,\N,\N,\N,"88","132","256","234","78","2.42",\N,"11.1","0.77",\N,"3.47",\N,\N,\N,\N,\N,\N,\N,"242","https://www.eshian.com/sat/yyss/detail/LXMjAyNS0wNC0xNA==\
/2224"
"4","2025-04-14 18:08:04","肉豆蔻","Myristica fragrans","药食两用食物及其它","100","食物成分表2002","中国","1946","8.1","35.2",\N,\N,\N,\N,\N,"43.3",\N,\N,\N,\N,"14.4","26",\N,\N,"5.9",\N,\N,"0.26",\N,\N,\N,\N,\N,\N,\N,\N,"26","61",\N,"42","1.3","1.53",\N,"0.5","1.14",\N,"1.09",\N,\N,\N,\N,\N,\N,\N,"465","https://www.eshian.com/sat/yyss/detail/LXMjAyNS0wNC0xNA==\
/2229"
"5","2025-04-14 18:08:09","乌梅","Fructus mume","药食两用食物及其它","34","食物成分表2002","中国","916","6.8","2.3",\N,\N,\N,\N,\N,"76.6",\N,\N,\N,\N,"33.9","19",\N,\N,"7.12",\N,"0.07","0.54",\N,\N,"4","2.3",\N,\N,\N,\N,"16","161","137","33","0.5","7.65",\N,"1.6","1.17",\N,"0.35",\N,\N,\N,\N,\N,\N,\N,"219","https://www.eshian.com/sat/yyss/detail/LXMjAyNS0wNC0xNA==\
/2233"
"6","2025-04-14 18:08:14","紫苏（鲜）[赤苏，白苏]","Perilla frutescens(fresh)","药食两用食物及其它","76","食物成分表2002","中国","213","3.8","1.3",\N,\N,\N,\N,\N,"9.9",\N,\N,\N,\N,"3.8","3","1232",\N,\N,\N,"0.02","0.35",\N,\N,"24","1.3",\N,\N,\N,\N,"73","435","283","311","8.1","0.92",\N,\N,"0.34",\N,"1.38",\N,\N,\N,\N,\N,\N,\N,"51","https://www.eshian.com/sat/yyss/detail/LXMjAyNS0wNC0xNA==\
/2237"
"7","2025-04-14 18:08:19","茯苓","Poria cocos","药食两用食物及其它","100","食物成分表2002","中国","67","1.2","0.5",\N,\N,\N,\N,\N,"82.6",\N,\N,\N,\N,"80.9","1",\N,\N,\N,\N,\N,"0.12",\N,\N,\N,"0.4",\N,\N,\N,\N,"32","58","8","2","9.4","0.44",\N,"4.6","0.23",\N,"1.39",\N,\N,\N,\N,\N,\N,\N,"16","https://www.eshian.com/sat/yyss/detail/LXMjAyNS0wNC0xNA==\
/2238"
"8","2025-04-14 18:08:24","鸡胸脯肉","Pollo pechuga de pollo","禽肉类及制品","100","食物成分表2009","中国","556","19.4","5","1.6",\N,"2","1.2","82","2.5",\N,\N,\N,\N,\N,"34","16",\N,"0.22",\N,"0.07","0.13",\N,\N,\N,"10.8",\N,\N,\N,\N,"214","338","28","3","0.6","0.51",\N,"10.5","0.06",\N,"0.01",\N,\N,\N,\N,\N,\N,\N,"133","https://www.eshian.com/sat/yyss/detail/LXMjAyNS0wNC0xNA==\
/497"
"9","2025-04-14 18:08:29","鸡翅","Chicken Wings","禽肉类及制品","69","食物成分表2009","中国","812","17.4","11.8","3.4",\N,"5.5","2.4","113","4.6",\N,\N,\N,\N,\N,"51","68",\N,"0.25",\N,"0.01","0.11",\N,\N,\N,"5.3",\N,\N,\N,\N,"161","205","17","8","1.3","1.12",\N,"11","0.05",\N,"0.03",\N,\N,\N,\N,\N,\N,\N,"194","https://www.eshian.com/sat/yyss/detail/LXMjAyNS0wNC0xNA==\
/501"
"10","2025-04-14 18:08:34","麦瓶草[米瓦罐]","Silene conoidea","蔬菜类及制品","100","食物成分表2009","中国","159","4.5","0.5",\N,\N,\N,\N,\N,"4.4",\N,\N,\N,\N,"1",\N,"693",\N,\N,\N,"0.02","0.27",\N,\N,"49","1.6",\N,\N,\N,\N,"55",\N,\N,"153","4.5",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"38","https://www.eshian.com/sat/yyss/detail/LXMjAyNS0wNC0xNA==\
/502"
